trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
163,False,"{'a': 0.01, 'e': 0.19789869908361465}",20,0,9.660341789323857,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.01, 'e': 0.19592957412690934}",30,21,2.0876152873903413,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.01, 'e': 0.19398004229089189}",25,18,10.30926038069197,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.01, 'e': 0.19204990862075408}",20,10,19.061114902083176,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.01, 'e': 0.1901389801015205}",20,0,20.000053597906202,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
168,False,"{'a': 0.01, 'e': 0.1882470656387468}",20,13,-7.887296835025023,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
169,False,"{'a': 0.01, 'e': 0.18637397603940997}",20,7,10.230558905243056,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.01, 'e': 0.18451952399298926}",25,19,10.142845347579014,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.01, 'e': 0.18268352405273466}",20,0,-14.571675468880589,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
172,False,"{'a': 0.01, 'e': 0.1808657926171221}",20,14,-8.497150021239499,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
173,False,"{'a': 0.01, 'e': 0.17906614791149322}",20,15,10.276567003711236,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.01, 'e': 0.17728440996987782}",20,0,28.174737963831593,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
175,False,"{'a': 0.01, 'e': 0.17552040061699686}",25,11,15.463866377600162,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.01, 'e': 0.17377394345044514}",25,7,-20.80810943631261,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
177,False,"{'a': 0.01, 'e': 0.17204486382305054}",25,19,12.968730007745659,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.01, 'e': 0.17033298882540943}",30,3,-11.609134046385485,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 1}",1
179,False,"{'a': 0.01, 'e': 0.1686381472685955}",30,18,10.281093805985861,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.01, 'e': 0.1669601696670407}",25,1,31.03892320425969,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.01, 'e': 0.16529888822158653}",20,0,29.61291465767229,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
182,False,"{'a': 0.01, 'e': 0.16365413680270405}",20,2,30.57998679956776,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.01, 'e': 0.16202575093388075}",20,13,5.7148927829849425,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
